file,split,source,original_path,group,sha1,n_boxes,fixes
sh17_001845bed43e.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-3688501.jpeg,1222,001845bed43e9c48e9bd91337f9693210832ea78,4,
sh17_004035a2bf6d.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-4350047.jpeg,1952,004035a2bf6dae1504c5f1cbaee597e9c2000e5a,2,
sh17_00d151a5bece.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-6231757.jpeg,4846,00d151a5becebdf216bb72bdcacab58919c811af,8,
sh17_00f854b05b65.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-5710788.jpeg,3671,00f854b05b65b9e6622297972394bd91b992f6f6,4,
sh17_00f9d4f93c4c.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-7904492.jpeg,6807,00f9d4f93c4c1355197b3b842ea21ec6ab03e041,2,line 6: box clipped to image
sh17_00feb34a16fc.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-14047898.jpeg,617,00feb34a16fc1c4c9aa46c37bbcdfd4b61e0d02a,11,
sh17_01185f761c1f.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-7213657.jpeg,5843,01185f761c1f8fa31de3c562f4e14dbc418956ca,9,
sh17_0146b43dedd0.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-7155296.jpeg,5791,0146b43dedd03b9dfb92db40251362a350874149,3,line 5: box clipped to image
sh17_015b2389125d.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-8849692.jpeg,7471,015b2389125d0a5aa8a820044aa89e509884dbb8,2,
sh17_01621d1d43a9.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-5493659.jpeg,3394,01621d1d43a9498ff2fe6f5dc610249d08ad1393,5,
sh17_01ca3493640e.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-7579117.jpeg,6264,01ca3493640e972d02ea4c8917539d91ab4095ff,6,line 3: box clipped to image; line 4: box clipped to image; line 7: box clipped to image
sh17_01e7848c673e.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-4620615.jpeg,2494,01e7848c673ec51e877e6fe9d5b6678c108e8350,6,line 7: box clipped to image
sh17_0211f249b41c.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-7728019.jpeg,6652,0211f249b41c228168df333667cbe8784e59fdeb,4,
sh17_021d97526922.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-6912869.jpeg,5453,021d975269220f3467f60366b060bb083ccb5aa9,3,
sh17_0238c50c6c97.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-18498214.jpeg,938,0238c50c6c979e185b2d4866f742c1cb0dd45653,3,
sh17_0243fad34814.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-5894220.jpeg,4008,0243fad348148bbc9db09fad21601626121cfe4f,2,
sh17_025f59f7b8bf.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-4622417.jpeg,2572,025f59f7b8bf942cca451a8ca0b93fcf8523e08b,2,
sh17_029049e5f08d.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-3855645.jpeg,1495,029049e5f08d35b754fc7549ce060c2eaebb69e6,3,
sh17_02fd36d53001.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-12911252.jpeg,408,02fd36d530011c043d15df82eb665f9610ae50fa,4,
sh17_032e064bb0b4.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-4623525.jpeg,2591,032e064bb0b474d1bf84b38365370ad4968bb642,13,line 17: box clipped to image
sh17_03509fb6843e.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-6129642.jpeg,4522,03509fb6843e31afed49500240944ceabbf02c78,5,
sh17_036b477c0af6.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-4706142.jpeg,2618,036b477c0af6d574cd74b937262bcccbf9ba0ddc,4,
sh17_0373717fb647.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-5409739.jpeg,3249,0373717fb647ee8fd7bbb3c92ff507240e202279,2,
sh17_03ac140c0737.jpg,test,sh17,/kaggle/input/datasets/mugheesahmad/sh17-dataset-for-ppe-detection/images/pexels-photo-8853512.jpeg,7489,03ac140c0737b2a63c6682eb32024274113e5c45,6,
